MovieID,Title,Genres,Directors,Cast,Runtimes,Production_companies
1,Toy Story (1995),Animation|Children's|Comedy,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",81,"Walt Disney Pictures, Pixar Animation Studios"
2,Jumanji (1995),Adventure|Children's|Fantasy,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt",104,"TriStar Pictures, Interscope Communications, Teitler Film"
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret, Burgess Meredith",101,"Lancaster Gate, Warner Bros."
4,Waiting to Exhale (1995),Comedy|Drama,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines",124,Twentieth Century Fox
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern",106,"Touchstone Pictures, Sandollar Productions, Taylor-Made Productions, The Meyers/Shyer Company"
6,Heat (1995),Action|Crime|Thriller,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore",170,"Warner Bros., New Regency Productions, Forward Pass, Art Linson Productions, Monarchy Enterprises B.V."
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood",127,"Mirage Enterprises, Mont Blanc Entertainment GmbH, Paramount Pictures, Sandollar Productions, Scott Rudin Productions, Worldwide"
8,Tom and Huck (1995),Adventure|Children's,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright",97,"Walt Disney Pictures, Painted Fence Productions"
9,Sudden Death (1995),Action,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger",111,"Universal Pictures, Signature Entertainment, Imperial Entertainment, Shattered Productions"
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker",130,"Eon Productions, United Artists"
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith",114,"Universal Pictures, Castle Rock Entertainment, Wildwood Enterprises"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck, Lysette Anthony",88,"Gaumont, Castle Rock Entertainment, Brooksfilms"
13,Balto (1995),Animation|Children's,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins",78,"Universal Pictures, Amblin Entertainment, Amblimation"
14,Nixon (1995),Drama,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins",192,"Hollywood Pictures, Illusion Entertainment, Cinergi Pictures Entertainment"
